time,epoch,batch,sample,train avg loss
0min22sec,12,650,2600,0.711
0min22sec,12,700,2800,0.719
0min22sec,13,50,200,0.752
0min22sec,13,100,400,0.736
0min22sec,13,150,600,0.758
0min22sec,13,200,800,0.747
0min22sec,13,250,1000,0.746
0min22sec,13,300,1200,0.738
0min22sec,13,350,1400,0.732
0min22sec,13,400,1600,0.728
0min22sec,13,450,1800,0.730
0min22sec,13,500,2000,0.725
0min22sec,13,550,2200,0.729
0min22sec,13,600,2400,0.728
0min22sec,13,650,2600,0.733
0min22sec,13,700,2800,0.726
0min22sec,14,50,200,0.678
0min22sec,14,100,400,0.673
0min22sec,14,150,600,0.703
0min22sec,14,200,800,0.707
0min22sec,14,250,1000,0.701
0min22sec,14,300,1200,0.684
0min22sec,14,350,1400,0.680
0min22sec,14,400,1600,0.683
0min22sec,14,450,1800,0.684
0min22sec,14,500,2000,0.690
0min22sec,14,550,2200,0.682
0min22sec,14,600,2400,0.680
0min22sec,14,650,2600,0.682
0min22sec,14,700,2800,0.687
0min22sec,15,50,200,0.637
0min22sec,15,100,400,0.643
0min22sec,15,150,600,0.664
0min22sec,15,200,800,0.664
0min22sec,15,250,1000,0.661
0min22sec,15,300,1200,0.668
0min22sec,15,350,1400,0.670
0min22sec,15,400,1600,0.672
0min22sec,15,450,1800,0.680
0min22sec,15,500,2000,0.691
0min22sec,15,550,2200,0.704
0min22sec,15,600,2400,0.707
0min22sec,15,650,2600,0.702
0min22sec,15,700,2800,0.701
0min22sec,16,50,200,0.736
0min22sec,16,100,400,0.703
0min22sec,16,150,600,0.690
0min22sec,16,200,800,0.674
0min22sec,16,250,1000,0.668
0min22sec,16,300,1200,0.674
0min22sec,16,350,1400,0.671
0min22sec,16,400,1600,0.668
0min22sec,16,450,1800,0.667
0min22sec,16,500,2000,0.667
0min22sec,16,550,2200,0.674
0min22sec,16,600,2400,0.674
0min22sec,16,650,2600,0.674
0min22sec,16,700,2800,0.677
0min22sec,17,50,200,0.659
0min22sec,17,100,400,0.660
0min22sec,17,150,600,0.664
0min22sec,17,200,800,0.655
0min22sec,17,250,1000,0.659
0min22sec,17,300,1200,0.666
0min22sec,17,350,1400,0.674
0min22sec,17,400,1600,0.673
0min22sec,17,450,1800,0.668
0min22sec,17,500,2000,0.665
0min22sec,17,550,2200,0.657
0min22sec,17,600,2400,0.652
0min22sec,17,650,2600,0.647
0min22sec,17,700,2800,0.644
0min22sec,18,50,200,0.576
0min22sec,18,100,400,0.610
0min22sec,18,150,600,0.603
0min22sec,18,200,800,0.603
0min22sec,18,250,1000,0.612
0min22sec,18,300,1200,0.610
0min22sec,18,350,1400,0.607
0min22sec,18,400,1600,0.614
0min22sec,18,450,1800,0.611
0min22sec,18,500,2000,0.613
0min22sec,18,550,2200,0.611
0min22sec,18,600,2400,0.611
